Brightness,Offset_at_75_to_Center,Offset_at_120_to_Center,Offset_at_165_to_Center,Threshold_Gray,Min_Track_width,Red,Blue,Green,Led_Brightness,LEFT_DISTANCE,RIGHT_DISTANCE,ULTRASONIC_SAMPELS
38,20,29,110,24,68,98,104,0,,,,
16,20,29,110,24,68,98,104,0,,,,
10,20,29,110,24,68,98,104,0,,,,
5,20,29,110,24,68,98,104,0,,,,
192,20,29,110,24,68,98,104,0,,,,
255,20,29,110,24,68,98,104,0,,,,
206,20,29,110,24,68,98,104,0,,,,
206,20,29,110,24,68,98,104,0,,,,
128,20,29,110,24,68,98,104,0,,,,
105,20,29,110,24,68,98,104,0,,,,
105,20,29,110,24,68,98,104,0,,,,
105,20,29,110,24,98,98,104,255,,,,
105,20,29,110,24,98,98,104,28,,,,
105,20,29,110,24,98,98,104,28,,,,
105,20,29,110,24,98,98,104,28,,,,
105,20,29,110,24,98,98,104,255,,,,
105,20,29,110,24,98,98,104,255,,,,
105,20,29,110,24,98,98,104,255,,,,
105,20,29,110,24,98,98,104,98,,,,
105,20,29,110,24,255,98,104,98,,,,
105,20,29,110,24,255,98,172,98,,,,
105,20,29,110,24,255,98,172,0,,,,
105,20,29,110,24,255,98,172,255,,,,
105,20,29,110,24,255,0,0,255,,,,
105,20,29,110,24,255,0,0,255,,,,
105,20,29,110,24,0,0,255,255,,,,
105,20,29,110,24,0,0,255,255,,,,
105,20,29,110,24,0,0,255,255,,,,
105,20,29,110,24,0,0,255,0,,,,
105,20,29,110,24,0,0,255,0,,,,
105,20,29,110,24,0,0,255,0,,,,
105,20,29,110,24,0,0,255,0,,,,
105,20,29,110,24,0,0,255,0,,,,
105,20,29,110,24,0,0,255,0,,,,
105,20,29,110,24,0,0,255,0,,,,
105,20,29,110,24,0,0,255,0,,,,
105,20,29,110,24,0,255,0,0,,,,
105,20,29,110,24,0,255,0,0,,,,
105,20,29,110,24,109,133,167,0,,,,
105,20,29,110,24,109,133,167,96,,,,
105,20,29,110,24,109,66,167,96,,,,
105,20,29,110,24,109,66,167,96,,,,
105,20,29,110,24,109,66,167,0,,,,
105,20,29,110,24,109,66,167,255,,,,
105,20,29,110,24,109,66,167,255,,,,
105,20,29,110,24,109,66,167,255,,,,
105,20,29,110,24,0,0,0,255,,,,
105,20,29,110,24,0,0,0,255,,,,
105,20,29,110,24,0,0,0,255,,,,
105,20,29,110,24,0,0,0,0,,,,
105,20,29,110,24,0,0,0,0,,,,
105,20,29,110,24,0,0,0,0,,,,
105,20,29,110,24,0,0,0,0,,,,
105,20,29,110,24,0,0,0,0,,,,
105,20,29,110,24,0,0,0,0,,,,
105,20,29,110,24,0,0,0,0,,,,
105,20,29,110,24,0,0,0,255,,,,
105,20,29,110,24,0,0,0,255,,,,
105,20,29,110,24,0,94,0,255,,,,
105,20,29,110,24,0,94,0,255,,,,
105,20,29,110,24,0,255,0,255,,,,
105,20,29,110,24,0,255,0,164,,,,
105,20,29,110,24,0,255,0,255,,,,
105,20,29,110,24,0,66,0,255,,,,
105,20,29,110,24,0,66,0,255,,,,
105,20,29,110,24,0,255,0,255,,,,
105,20,29,110,24,0,255,0,0,,,,
105,20,29,110,24,255,0,255,0,,,,
105,20,29,110,24,255,0,255,255,,,,
105,20,29,110,24,255,0,255,248,,,,
105,20,29,110,24,228,0,255,248,,,,
105,20,29,110,24,168,0,255,248,,,,
105,20,29,110,24,101,0,255,248,,,,
105,20,29,110,24,0,0,255,248,,,,
105,20,29,110,24,0,0,255,248,,,,
105,20,29,110,24,0,0,255,248,,,,
105,20,29,110,24,0,0,45,248,,,,
105,20,29,110,24,0,0,255,0,,,,
105,20,29,110,24,0,255,0,0,,,,
105,20,29,110,24,0,0,0,0,,,,
105,20,29,110,24,255,0,0,0,,,,
105,20,29,110,24,255,0,142,0,,,,
105,20,29,110,24,255,188,142,0,,,,
105,20,29,110,24,0,188,0,0,,,,
105,20,29,110,24,0,188,0,0,,,,
105,20,29,110,24,0,188,0,0,,,,
105,20,29,110,24,0,188,0,0,,,,
105,20,29,110,24,0,188,0,0,,,,
105,20,29,110,24,0,188,0,255,,,,
105,20,29,110,24,0,188,0,255,,,,
105,20,29,110,24,0,188,0,255,,,,
105,20,29,110,24,0,188,0,255,,,,
105,20,29,110,24,0,188,0,255,,,,
105,20,29,110,24,0,81,0,255,,,,
105,20,29,110,24,0,42,0,255,,,,
105,20,29,110,24,0,42,0,255,,,,
105,20,29,110,24,0,42,0,0,,,,
105,20,29,110,24,0,42,0,0,,,,
105,20,29,110,24,0,77,0,0,,,,
105,20,29,110,24,0,170,0,0,,,,
105,20,29,110,24,0,230,0,0,,,,
105,20,29,110,24,255,230,255,0,,,,
105,20,29,110,24,255,62,255,0,,,,
105,20,29,110,24,255,0,255,0,,,,
105,20,29,110,24,255,0,0,0,,,,
105,20,29,110,24,0,0,0,0,,,,
105,20,29,110,24,255,255,255,0,,,,
105,20,29,110,24,255,255,255,0,,,,
105,20,29,110,24,0,255,255,0,,,,
105,20,29,110,24,0,0,255,0,,,,
105,20,29,110,24,0,0,255,0,,,,
105,20,29,110,24,0,0,255,0,,,,
105,20,29,110,24,0,0,0,0,,,,
105,20,29,110,24,255,0,0,0,,,,
105,20,29,110,24,255,0,113,0,,,,
105,20,29,110,24,255,0,113,0,,,,
105,20,29,110,24,255,0,113,0,,,,
105,20,29,110,24,255,0,113,0,,,,
105,20,29,110,24,255,0,113,0,,,,
105,20,29,110,24,255,0,113,0,,,,
105,20,29,110,24,255,0,113,0,,,,
105,20,29,110,24,255,0,113,0,,,,
105,20,29,110,24,255,0,113,0,,,,
105,20,29,110,24,255,0,113,1,,,,
105,20,29,110,24,255,0,0,1,,,,
105,20,29,110,24,255,0,0,20,,,,
105,20,29,110,24,255,0,0,8,,,,
105,20,29,110,24,255,0,0,5,,,,
105,20,29,110,24,255,0,0,2,,,,
105,20,29,110,24,255,0,0,1,,,,
105,20,29,110,24,255,0,0,10,,,,
105,20,29,110,24,255,0,0,20,,,,
105,20,29,110,24,255,0,0,20,,,,
105,20,29,110,24,255,0,0,1,,,,
105,20,29,110,24,255,0,0,20,,,,
105,20,29,110,24,255,0,141,20,,,,
105,20,29,110,24,255,0,141,19,,,,
105,20,29,110,24,255,0,141,20,,,,
105,20,29,110,24,255,0,141,20,,,,
105,20,29,110,24,255,0,141,20,,,,
105,20,29,110,24,255,0,141,1,,,,
105,20,29,110,24,255,182,141,1,,,,
105,20,29,110,24,96,182,141,1,,,,
105,20,29,110,24,0,0,255,1,,,,
105,20,29,110,24,0,0,255,1,,,,
105,20,29,110,24,0,0,255,20,,,,
105,20,29,110,24,255,0,0,20,,,,
105,20,29,110,24,0,255,0,20,,,,
105,20,29,110,24,255,255,255,20,,,,
105,20,29,110,24,255,255,255,1,,,,
255,20,29,110,24,255,255,255,1,,,,
255,27,30,100,20,255,255,255,1,,,,
255,27,30,100,20,255,255,255,20,,,,
255,27,30,100,20,255,255,255,1,,,,
255,27,30,100,20,0,255,255,1,,,,
255,27,30,100,20,0,255,255,20,,,,
255,27,30,100,20,0,0,255,20,,,,
255,27,30,100,20,255,255,255,20,,,,
255,27,30,100,20,255,255,255,1,,,,
0,27,30,100,20,255,255,255,1,,,,
39,27,30,100,20,255,255,255,1,,,,
65,27,30,100,20,255,255,255,1,,,,
212,27,30,100,20,255,255,255,1,,,,
255,27,30,100,20,255,255,255,1,,,,
255,27,30,100,20,255,255,255,1,,,,
255,27,30,100,20,255,0,255,1,,,,
255,27,30,100,20,255,0,255,1,,,,
255,27,30,100,20,255,0,255,1,,,,
255,27,30,100,20,255,0,255,1,,,,
255,27,30,100,20,255,0,255,1,,,,
255,27,30,100,20,255,0,255,20,,,,
255,27,30,100,20,255,255,255,20,,,,
255,27,30,100,20,255,255,255,20,,,,
255,27,30,100,20,255,255,255,20,,,,
255,27,30,100,20,255,255,255,10,,,,
255,27,30,100,20,255,255,255,10,,,,
255,27,30,100,20,255,255,255,16,,,,
255,27,30,100,20,0,255,255,16,,,,
255,27,30,100,20,0,255,255,20,,,,
255,27,30,100,20,0,255,117,20,,,,
255,27,30,100,20,0,172,117,20,,,,
255,27,30,100,20,0,40,196,20,,,,
255,27,30,100,20,255,255,255,20,,,,
75,27,30,100,20,255,255,255,20,,,,
33,27,30,100,20,255,255,255,20,,,,
17,27,30,100,20,255,255,255,20,,,,
0,27,30,100,20,255,255,255,20,,,,
6,27,30,100,20,255,255,255,20,,,,
